DeltaT_C,RH,surface,theta_deg,tau_min,t_s,tau,C,A
5,0.60,Hydrophilic coat,10,0.35,520,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,525,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,530,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,535,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,540,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,545,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,550,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,555,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,560,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,565,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,570,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,575,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,580,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,585,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,590,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,595,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,600,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,0,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,5,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,10,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,15,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,20,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,25,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,30,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,35,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,40,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,45,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,50,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,55,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,60,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,65,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,70,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,75,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,80,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,85,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,90,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,95,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,100,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,105,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,110,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,115,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,120,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,125,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,130,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,135,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,140,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,145,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,150,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,155,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,160,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,165,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,170,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,175,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,180,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,185,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,190,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,195,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,200,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,205,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,210,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,215,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,220,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,225,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,230,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,235,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,240,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,245,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,250,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,255,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,260,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,265,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,270,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,275,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,280,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,285,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,290,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,295,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,300,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,305,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,310,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,315,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,320,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,325,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,330,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,335,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,340,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,345,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,350,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,355,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,360,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,365,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,370,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,375,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,380,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,385,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,390,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,395,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,400,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,405,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,410,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,415,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,420,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,425,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,430,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,435,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,440,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,445,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,450,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,455,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,460,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,465,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,470,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,475,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,480,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,485,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,490,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,495,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,500,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,505,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,510,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,515,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,520,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,525,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,530,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,535,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,540,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,545,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,550,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,555,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,560,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,565,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,570,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,575,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,580,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,585,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,590,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,595,1.000000,0.000000,1
5,0.60,Hydrophobic coat,100,0.14,600,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,0,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,5,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,10,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,15,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,20,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,25,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,30,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,35,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,40,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,45,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,50,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,55,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,60,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,65,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,70,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,75,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,80,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,85,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,90,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,95,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,100,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,105,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,110,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,115,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,120,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,125,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,130,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,135,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,140,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,145,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,150,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,155,1.000000,0.000000,1
5,0.60,Superhydrophobic,150,0.28,160,1.000000,0.000000,1
